name,country,rank,ranking_band,competitiveness,avg_tuition_usd
Harokopio University of Athens,Greece,696,300+,VERY_LOW,20000
Masaryk University,Czechia,697,300+,VERY_LOW,20000
Nanjing University of Aeronautics and Astronautics,China,698,300+,VERY_LOW,20000
University of Tuscia,Italy,699,300+,VERY_LOW,20000
King Faisal University,Saudi Arabia,700,300+,VERY_LOW,20000
Lorestan University of Medical Sciences,Iran,701,300+,VERY_LOW,20000
National Research Nuclear University MEPhI,Russian Federation,702,300+,VERY_LOW,20000
Iran University of Medical Sciences,Iran,703,300+,VERY_LOW,20000
Xidian University,China,704,300+,VERY_LOW,20000
The University of Texas at San Antonio,United States,705,300+,VERY_LOW,40000
University of New Brunswick UNB,Canada,706,300+,VERY_LOW,25000
Golestan University,Iran,707,300+,VERY_LOW,20000
Shiraz University of Medical Sciences,Iran,708,300+,VERY_LOW,20000
University of Insubria,Italy,709,300+,VERY_LOW,20000
"University of Maryland, Baltimore County",United States,710,300+,VERY_LOW,40000
Tecnológico de Monterrey,Mexico,711,300+,VERY_LOW,20000
Indian Institute of Technology Patna,India,712,300+,VERY_LOW,20000
London South Bank University,United Kingdom,713,300+,VERY_LOW,30000
Rovira i Virgili University,Spain,714,300+,VERY_LOW,20000
Bar-Ilan University,Israel,715,300+,VERY_LOW,20000
University of Hertfordshire,United Kingdom,716,300+,VERY_LOW,30000
Chitkara University,India,717,300+,VERY_LOW,20000
Cyprus International University,Northern Cyprus,718,300+,VERY_LOW,20000
Urmia University of Medical Sciences,Iran,719,300+,VERY_LOW,20000
Yarmouk University,Jordan,720,300+,VERY_LOW,20000
Worcester Polytechnic Institute,United States,721,300+,VERY_LOW,40000
Obuda University,Hungary,722,300+,VERY_LOW,20000
Federal University of Rio de Janeiro,Brazil,723,300+,VERY_LOW,20000
University of Beira Interior,Portugal,724,300+,VERY_LOW,20000
University of the West of Scotland,United Kingdom,725,300+,VERY_LOW,30000
École des Mines de Saint-Étienne,France,726,300+,VERY_LOW,20000
Kadir Has University,Turkey,727,300+,VERY_LOW,20000
Kobe University,Japan,728,300+,VERY_LOW,20000
Air University,Pakistan,729,300+,VERY_LOW,20000
Jouf University,Saudi Arabia,730,300+,VERY_LOW,20000
Malaviya National Institute of Technology,India,731,300+,VERY_LOW,20000
SRUC (Scotland’s Rural College),United Kingdom,732,300+,VERY_LOW,30000
Louisiana State University,United States,733,300+,VERY_LOW,40000
University of the Basque Country,Spain,734,300+,VERY_LOW,20000
Shahid Beheshti University of Medical Sciences,Iran,735,300+,VERY_LOW,20000
New Mexico State University (Main campus),United States,736,300+,VERY_LOW,40000
