name,country,rank,ranking_band,competitiveness,avg_tuition_usd
Shahrekord University,Iran,1414,300+,VERY_LOW,20000
National Institute of Technology Warangal,India,1415,300+,VERY_LOW,20000
Zewail City of Science and Technology,Egypt,1416,300+,VERY_LOW,20000
Lahore College for Women University (LCWU),Pakistan,1417,300+,VERY_LOW,20000
Madan Mohan Malaviya University of Technology,India,1418,300+,VERY_LOW,20000
Al-Farabi Kazakh National University,Kazakhstan,1419,300+,VERY_LOW,20000
University of Peradeniya,Sri Lanka,1420,300+,VERY_LOW,20000
Erciyes University,Turkey,1421,300+,VERY_LOW,20000
The University of the West Indies,Jamaica,1422,300+,VERY_LOW,20000
The John Paul II Catholic University of Lublin,Poland,1423,300+,VERY_LOW,20000
Tokyo University of Science,Japan,1424,300+,VERY_LOW,20000
Sohag University,Egypt,1425,300+,VERY_LOW,20000
St Francis Xavier University,Canada,1426,300+,VERY_LOW,25000
Warsaw University of Technology,Poland,1427,300+,VERY_LOW,20000
University of El Oued,Algeria,1428,300+,VERY_LOW,20000
Pavol Jozef Šafárik University in Košice,Slovakia,1429,300+,VERY_LOW,20000
Sapporo Medical University,Japan,1430,300+,VERY_LOW,20000
University of Reims Champagne-Ardenne,France,1431,300+,VERY_LOW,20000
Wrocław University of Science and Technology,Poland,1432,300+,VERY_LOW,20000
Shahid Bahonar University of Kerman,Iran,1433,300+,VERY_LOW,20000
University of Social Welfare and Rehabilitation Sciences,Iran,1434,300+,VERY_LOW,20000
Sidi Mohamed Ben Abdellah University,Morocco,1435,300+,VERY_LOW,20000
Shiga University of Medical Science,Japan,1436,300+,VERY_LOW,20000
National Institute of Technology Srinagar,India,1437,300+,VERY_LOW,20000
National Institute of Technology Meghalaya,India,1438,300+,VERY_LOW,20000
Tianjin Normal University,China,1439,300+,VERY_LOW,20000
Mutah University,Jordan,1440,300+,VERY_LOW,20000
Sefako Makgatho Health Sciences University,South Africa,1441,300+,VERY_LOW,20000
TOBB University of Economics and Technology,Turkey,1442,300+,VERY_LOW,20000
Pontifícia Universidade Católica do Paraná,Brazil,1443,300+,VERY_LOW,20000
Shiv Nadar University,India,1444,300+,VERY_LOW,20000
BINUS University,Indonesia,1445,300+,VERY_LOW,20000
USAMV Cluj-Napoca,Romania,1446,300+,VERY_LOW,20000
National University of Uzbekistan named after Mirzo Ulugbek,Uzbekistan,1447,300+,VERY_LOW,20000
Gauhati University,India,1448,300+,VERY_LOW,20000
National Taiwan Ocean University,Taiwan,1449,300+,VERY_LOW,20000
Shinshu University,Japan,1450,300+,VERY_LOW,20000
Zhejiang Chinese Medical University,China,1451,300+,VERY_LOW,20000
National Textile University,Pakistan,1452,300+,VERY_LOW,20000
Tokushima University,Japan,1453,300+,VERY_LOW,20000
Holy Spirit University of Kaslik,Lebanon,1454,300+,VERY_LOW,20000
University of Jos,Nigeria,1455,300+,VERY_LOW,20000
University of La Serena,Chile,1456,300+,VERY_LOW,20000
Kookmin University,South Korea,1457,300+,VERY_LOW,20000
Reshetnev Siberian State University of Science and Technology,Russian Federation,1458,300+,VERY_LOW,20000
Osaka Metropolitan University,Japan,1459,300+,VERY_LOW,20000
Riga Stradiņš University,Latvia,1460,300+,VERY_LOW,20000
The British University in Egypt,Egypt,1461,300+,VERY_LOW,20000
Budapest University of Technology and Economics,Hungary,1462,300+,VERY_LOW,20000
Opole University of Technology,Poland,1463,300+,VERY_LOW,20000
SASTRA University,India,1464,300+,VERY_LOW,20000
American International University – Bangladesh,Bangladesh,1465,300+,VERY_LOW,20000
Kharazmi University,Iran,1466,300+,VERY_LOW,20000
Vytautas Magnus University,Lithuania,1467,300+,VERY_LOW,20000
University of Kerala,India,1468,300+,VERY_LOW,20000
National University of Distance Education (UNED),Spain,1469,300+,VERY_LOW,20000
Istanbul Medeniyet University,Turkey,1470,300+,VERY_LOW,20000
I-Shou University,Taiwan,1471,300+,VERY_LOW,20000
Université Djillali Liabès de Sidi Bel-Abbès,Algeria,1472,300+,VERY_LOW,20000
Universidade Federal de Pernambuco,Brazil,1473,300+,VERY_LOW,20000
National Dong Hwa University,Taiwan,1474,300+,VERY_LOW,20000
"University of Health Sciences, Turkey",Turkey,1475,300+,VERY_LOW,20000
University of La Frontera,Chile,1476,300+,VERY_LOW,20000
Thammasat University,Thailand,1477,300+,VERY_LOW,20000
IFHE Hyderabad,India,1478,300+,VERY_LOW,20000
Autonomous University of Sinaloa,Mexico,1479,300+,VERY_LOW,20000
Lebanese University,Lebanon,1480,300+,VERY_LOW,20000
Süleyman Demirel University,Turkey,1481,300+,VERY_LOW,20000
University of Brasília,Brazil,1482,300+,VERY_LOW,20000
University of Manouba,Tunisia,1483,300+,VERY_LOW,20000
University of South Wales,United Kingdom,1484,300+,VERY_LOW,30000
Universidad del Desarrollo,Chile,1485,300+,VERY_LOW,20000
Kyushu Institute of Technology (Kyutech),Japan,1486,300+,VERY_LOW,20000
University of Split,Croatia,1487,300+,VERY_LOW,20000
National Chung Cheng University,Taiwan,1488,300+,VERY_LOW,20000
M. Kumarasamy College of Engineering,India,1489,300+,VERY_LOW,20000
Yanshan University,China,1490,300+,VERY_LOW,20000
Ilia State University,Georgia,1491,300+,VERY_LOW,20000
Suranaree University of Technology,Thailand,1492,300+,VERY_LOW,20000
Khulna University,Bangladesh,1493,300+,VERY_LOW,20000
Universidad Católica San Antonio de Murcia (UCAM),Spain,1494,300+,VERY_LOW,20000
Poznań University of Life Sciences,Poland,1495,300+,VERY_LOW,20000
Hosei University,Japan,1496,300+,VERY_LOW,20000
Tokai University,Japan,1497,300+,VERY_LOW,20000
Botswana International University of Science and Technology (BIUST),Botswana,1498,300+,VERY_LOW,20000
Yokohama National University,Japan,1499,300+,VERY_LOW,20000
Tzu Chi University,Taiwan,1500,300+,VERY_LOW,20000
University of La Sabana,Colombia,1501,300+,VERY_LOW,20000
Incheon National University,South Korea,1502,300+,VERY_LOW,20000
Netaji Subhas University of Technology,India,1503,300+,VERY_LOW,20000
Qom University of Medical Sciences,Iran,1504,300+,VERY_LOW,20000
Moulay Ismail University,Morocco,1505,300+,VERY_LOW,20000
Technical University of Crete,Greece,1506,300+,VERY_LOW,20000
Chosun University,South Korea,1507,300+,VERY_LOW,20000
Guru Ghasidas Vishwavidyalaya,India,1508,300+,VERY_LOW,20000
Federal University of Technology Akure,Nigeria,1509,300+,VERY_LOW,20000
Federal University of Goiás,Brazil,1510,300+,VERY_LOW,20000
Universidad de Cartagena,Colombia,1511,300+,VERY_LOW,20000
Saitama Medical University,Japan,1512,300+,VERY_LOW,20000
Sabzevar University of Medical Sciences,Iran,1513,300+,VERY_LOW,20000
Christ University,India,1514,300+,VERY_LOW,20000
University of Monastir,Tunisia,1515,300+,VERY_LOW,20000
University of Gdańsk,Poland,1516,300+,VERY_LOW,20000
Shahid Sadoughi University of Medical Sciences,Iran,1517,300+,VERY_LOW,20000
Transilvania University of Brașov,Romania,1518,300+,VERY_LOW,20000
West University of Timişoara,Romania,1519,300+,VERY_LOW,20000
Tokyo Metropolitan University,Japan,1520,300+,VERY_LOW,20000
Wrocław University of Environmental and Life Sciences,Poland,1521,300+,VERY_LOW,20000
Razi University,Iran,1522,300+,VERY_LOW,20000
University of Macedonia,Greece,1523,300+,VERY_LOW,20000
IPB University,Indonesia,1524,300+,VERY_LOW,20000
SGH Warsaw School of Economics,Poland,1525,300+,VERY_LOW,20000
Universiti Tun Hussein Onn Malaysia (UTHM),Malaysia,1526,300+,VERY_LOW,20000
University of Northampton,United Kingdom,1527,300+,VERY_LOW,30000
University Cadi Ayyad of Marrakech,Morocco,1528,300+,VERY_LOW,20000
Université Saint-Joseph de Beyrouth,Lebanon,1529,300+,VERY_LOW,20000
"Vels Institute of Science, Technology and Advanced Studies (VISTAS)",India,1530,300+,VERY_LOW,20000
Federal University of Lavras,Brazil,1531,300+,VERY_LOW,20000
Tunghai University,Taiwan,1532,300+,VERY_LOW,20000
Helwan University,Egypt,1533,300+,VERY_LOW,20000
Medical University of Sofia,Bulgaria,1534,300+,VERY_LOW,20000
Babcock University,Nigeria,1535,300+,VERY_LOW,20000
Tokyo University of Marine Science and Technology,Japan,1536,300+,VERY_LOW,20000
Universitas Negeri Yogyakarta,Indonesia,1537,300+,VERY_LOW,20000
Technical University of Cartagena,Spain,1538,300+,VERY_LOW,20000
University of Technology of Troyes,France,1539,300+,VERY_LOW,20000
Universidad Loyola,Spain,1540,300+,VERY_LOW,20000
Kagawa University,Japan,1541,300+,VERY_LOW,20000
Pirogov Russian National Research Medical University,Russian Federation,1542,300+,VERY_LOW,20000
Vilnius Gediminas Technical University (Vilnius Tech),Lithuania,1543,300+,VERY_LOW,20000
Allameh Tabataba ’i University,Iran,1544,300+,VERY_LOW,20000
Warsaw University of Life Sciences – SGGW,Poland,1545,300+,VERY_LOW,20000
University of Toyama,Japan,1546,300+,VERY_LOW,20000
Federal University of Uberlândia,Brazil,1547,300+,VERY_LOW,20000
University of Antofagasta,Chile,1548,300+,VERY_LOW,20000
Istanbul Okan University,Turkey,1549,300+,VERY_LOW,20000
Moscow Polytechnic University,Russian Federation,1550,300+,VERY_LOW,20000
Poznan University of Technology,Poland,1551,300+,VERY_LOW,20000
Lucian Blaga University of Sibiu,Romania,1552,300+,VERY_LOW,20000
Technical University of Košice,Slovakia,1552,300+,VERY_LOW,20000
Yamagata University,Japan,1554,300+,VERY_LOW,20000
University of Zanjan,Iran,1555,300+,VERY_LOW,20000
Cardinal Stefan Wyszyński University in Warsaw,Poland,1556,300+,VERY_LOW,20000
Liverpool Hope University,United Kingdom,1557,300+,VERY_LOW,30000
Hassiba Benbouali University of Chlef,Algeria,1558,300+,VERY_LOW,20000
Diponegoro University,Indonesia,1559,300+,VERY_LOW,20000
Al-Qasim Green University,Iraq,1560,300+,VERY_LOW,20000
University of Havana,Cuba,1561,300+,VERY_LOW,20000
Mirpur University of Science and Technology,Pakistan,1562,300+,VERY_LOW,20000
KMITL – King Mongkut’s Institute of Technology Ladkrabang,Thailand,1563,300+,VERY_LOW,20000
University of Las Américas (UDLA),Ecuador,1564,300+,VERY_LOW,20000
Kitasato University,Japan,1565,300+,VERY_LOW,20000
University of Texas Rio Grande Valley,United States,1566,300+,VERY_LOW,40000
University of Lodz,Poland,1567,300+,VERY_LOW,20000
Manav Rachna International Institute of Research and Studies,India,1568,300+,VERY_LOW,20000
Recep Tayyip Erdoğan University,Turkey,1569,300+,VERY_LOW,20000
Universidad Francisco de Vitoria,Spain,1570,300+,VERY_LOW,20000
Obafemi Awolowo University,Nigeria,1571,300+,VERY_LOW,20000
Nagoya Institute of Technology,Japan,1572,300+,VERY_LOW,20000
Abdelmalek Essaâdi University,Morocco,1573,300+,VERY_LOW,20000
University of West Bohemia,Czechia,1574,300+,VERY_LOW,20000
Université Hassan II de Casablanca,Morocco,1575,300+,VERY_LOW,20000
Universidade Federal do ABC (UFABC),Brazil,1576,300+,VERY_LOW,20000
Chung Shan Medical University,Taiwan,1577,300+,VERY_LOW,20000
University of Nairobi,Kenya,1578,300+,VERY_LOW,20000
Universidade Lusófona,Portugal,1579,300+,VERY_LOW,20000
Dokuz Eylül University,Turkey,1580,300+,VERY_LOW,20000
Toho University,Japan,1581,300+,VERY_LOW,20000
University of Benin,Nigeria,1582,300+,VERY_LOW,20000
Universitas Negeri Padang,Indonesia,1583,300+,VERY_LOW,20000
Federal University of Santa Maria,Brazil,1584,300+,VERY_LOW,20000
Lublin University of Technology,Poland,1585,300+,VERY_LOW,20000
Hormozgan University of Medical Sciences,Iran,1586,300+,VERY_LOW,20000
Tamkang University,Taiwan,1587,300+,VERY_LOW,20000
National University of Colombia,Colombia,1588,300+,VERY_LOW,20000
Lodz University of Technology,Poland,1589,300+,VERY_LOW,20000
Del Rosario University,Colombia,1590,300+,VERY_LOW,20000
Karabük University,Turkey,1591,300+,VERY_LOW,20000
University of La Rochelle,France,1592,300+,VERY_LOW,20000
Escuela Superior Politécnica del Litoral,Ecuador,1593,300+,VERY_LOW,20000
Yasouj University,Iran,1594,300+,VERY_LOW,20000
Vinayaka Mission’s Research Foundation,India,1595,300+,VERY_LOW,20000
Hellenic Open University,Greece,1596,300+,VERY_LOW,20000
Rikkyo University,Japan,1597,300+,VERY_LOW,20000
Moscow Aviation Institute,Russian Federation,1598,300+,VERY_LOW,20000
Durban University of Technology,South Africa,1599,300+,VERY_LOW,20000
University of Sunderland,United Kingdom,1600,300+,VERY_LOW,30000
Universiti Malaysia Perlis,Malaysia,1601,300+,VERY_LOW,20000
Guangxi Normal University,China,1602,300+,VERY_LOW,20000
Marmara University,Turkey,1603,300+,VERY_LOW,20000
Tashkent University of Information Technologies,Uzbekistan,1604,300+,VERY_LOW,20000
Université Polytechnique Hauts-de-France,France,1605,300+,VERY_LOW,20000
Military Institute of Science and Technology (MIST),Bangladesh,1606,300+,VERY_LOW,20000
Southwest Petroleum University,China,1607,300+,VERY_LOW,20000
Bezmiâlem Vakif University,Turkey,1608,300+,VERY_LOW,20000
Shree Guru Gobind Singh Tricentenary University,India,1609,300+,VERY_LOW,20000
GMR Institute of Technology,India,1610,300+,VERY_LOW,20000
Université Sultan Moulay Slimane,Morocco,1611,300+,VERY_LOW,20000
Nagaoka University of Technology,Japan,1612,300+,VERY_LOW,20000
Universiti Teknologi MARA,Malaysia,1613,300+,VERY_LOW,20000
University of the Ryukyus,Japan,1614,300+,VERY_LOW,20000
Goa University,India,1615,300+,VERY_LOW,20000
University of Lethbridge,Canada,1616,300+,VERY_LOW,25000
Ritsumeikan University,Japan,1617,300+,VERY_LOW,20000
University of Warmia and Mazury in Olsztyn,Poland,1618,300+,VERY_LOW,20000
Osaka Medical and Pharmaceutical University,Japan,1619,300+,VERY_LOW,20000
Pace University-New York,United States,1620,300+,VERY_LOW,40000
Karadeniz Technical University,Turkey,1621,300+,VERY_LOW,20000
Pontifical Catholic University of Valparaíso,Chile,1622,300+,VERY_LOW,20000
"University of the Andes, Chile",Chile,1623,300+,VERY_LOW,20000
University of Huelva,Spain,1624,300+,VERY_LOW,20000
Ştefan cel Mare University of Suceava,Romania,1625,300+,VERY_LOW,20000
Paris Nanterre University,France,1626,300+,VERY_LOW,20000
University for Development Studies,Ghana,1627,300+,VERY_LOW,20000
University of Worcester,United Kingdom,1628,300+,VERY_LOW,30000
Mie University,Japan,1629,300+,VERY_LOW,20000
Université Sorbonne Nouvelle,France,1630,300+,VERY_LOW,20000
Slovak University of Technology in Bratislava,Slovakia,1631,300+,VERY_LOW,20000
Communication University of China,China,1632,300+,VERY_LOW,20000
Yeditepe University,Turkey,1633,300+,VERY_LOW,20000
University of Chester,United Kingdom,1634,300+,VERY_LOW,30000
University of Ostrava,Czechia,1635,300+,VERY_LOW,20000
Harran University,Turkey,1636,300+,VERY_LOW,20000
University of Zimbabwe,Zimbabwe,1637,300+,VERY_LOW,20000
University of Talca,Chile,1637,300+,VERY_LOW,20000
"Jaypee Institute of Information Technology, Noida",India,1639,300+,VERY_LOW,20000
National Chin-Yi University of Technology,Taiwan,1640,300+,VERY_LOW,20000
Kyiv National University of Construction and Architecture,Ukraine,1641,300+,VERY_LOW,20000
Universitas Syiah Kuala,Indonesia,1642,300+,VERY_LOW,20000
Hirosaki University,Japan,1643,300+,VERY_LOW,20000
Satbayev University,Kazakhstan,1644,300+,VERY_LOW,20000
Muhimbili University of Health and Allied Sciences,Tanzania,1645,300+,VERY_LOW,20000
Karpagam Academy of Higher Education,India,1646,300+,VERY_LOW,20000
Universiti Malaysia Kelantan,Malaysia,1647,300+,VERY_LOW,20000
Vali-e-Asr University of Rafsanjan,Iran,1648,300+,VERY_LOW,20000
University of Silesia in Katowice,Poland,1649,300+,VERY_LOW,20000
CEU Universities,Spain,1650,300+,VERY_LOW,20000
Lincoln University College,Malaysia,1651,300+,VERY_LOW,20000
University of Pannonia,Hungary,1652,300+,VERY_LOW,20000
Unisinos University,Brazil,1653,300+,VERY_LOW,20000
Universidade Federal da Bahia,Brazil,1654,300+,VERY_LOW,20000
University of Rijeka,Croatia,1655,300+,VERY_LOW,20000
University of Hormozgan,Iran,1656,300+,VERY_LOW,20000
University of Santo Tomas,Philippines,1657,300+,VERY_LOW,20000
Kastamonu University,Turkey,1658,300+,VERY_LOW,20000
Universidad Autónoma de Chile,Chile,1659,300+,VERY_LOW,20000
"National Institute of Applied Sciences, Strasbourg (INSA Strasbourg)",France,1660,300+,VERY_LOW,20000
Istanbul Aydın University,Turkey,1661,300+,VERY_LOW,20000
University of Carthage,Tunisia,1662,300+,VERY_LOW,20000
Federal University of Rio Grande do Norte (UFRN),Brazil,1663,300+,VERY_LOW,20000
Far Eastern Federal University,Russian Federation,1664,300+,VERY_LOW,20000
Institut Teknologi Sepuluh Nopember,Indonesia,1665,300+,VERY_LOW,20000
Alzahra University,Iran,1666,300+,VERY_LOW,20000
Universidade Federal de Juiz de Fora,Brazil,1667,300+,VERY_LOW,20000
Universiti Teknikal Malaysia Melaka,Malaysia,1668,300+,VERY_LOW,20000
Maejo University,Thailand,1669,300+,VERY_LOW,20000
Jiangsu Normal University,China,1670,300+,VERY_LOW,20000
Université de Skikda,Algeria,1671,300+,VERY_LOW,20000
Ehime University,Japan,1672,300+,VERY_LOW,20000
Tribhuvan University,Nepal,1673,300+,VERY_LOW,20000
Acharya Nagarjuna University,India,1674,300+,VERY_LOW,20000
University of the Arts London,United Kingdom,1675,300+,VERY_LOW,30000
Centurion University of Technology and Management,India,1676,300+,VERY_LOW,20000
University of Sousse,Tunisia,1677,300+,VERY_LOW,20000
Chang Gung University of Science and Technology,Taiwan,1678,300+,VERY_LOW,20000
University of Novi Sad,Serbia,1679,300+,VERY_LOW,20000
University of Sistan and Baluchestan,Iran,1680,300+,VERY_LOW,20000
Instituto Politécnico de Viana do Castelo,Portugal,1681,300+,VERY_LOW,20000
University of Calabar,Nigeria,1682,300+,VERY_LOW,20000
University of Western Macedonia,Greece,1683,300+,VERY_LOW,20000
Yamaguchi University,Japan,1684,300+,VERY_LOW,20000
Sri Venkateswara University,India,1685,300+,VERY_LOW,20000
Maria Curie-Skłodowska University (UMCS),Poland,1686,300+,VERY_LOW,20000
Pontifical Catholic University of Peru,Peru,1687,300+,VERY_LOW,20000
Southern Federal University,Russian Federation,1688,300+,VERY_LOW,20000
Cracow University of Technology,Poland,1689,300+,VERY_LOW,20000
Acıbadem University,Turkey,1690,300+,VERY_LOW,20000
Catholic University of the North,Chile,1691,300+,VERY_LOW,20000
University of Tunis,Tunisia,1692,300+,VERY_LOW,20000
Karamanoğlu Mehmet Bey University,Turkey,1693,300+,VERY_LOW,20000
International Hellenic University,Greece,1694,300+,VERY_LOW,20000
UNIR – International University of La Rioja,Spain,1695,300+,VERY_LOW,20000
Istanbul Bilgi University,Turkey,1696,300+,VERY_LOW,20000
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,1697,300+,VERY_LOW,20000
Saga University,Japan,1698,300+,VERY_LOW,20000
Gunma University,Japan,1699,300+,VERY_LOW,20000
National Research University of Electronic Technology (MIET),Russian Federation,1700,300+,VERY_LOW,20000
University of Oum El Bouaghi,Algeria,1701,300+,VERY_LOW,20000
University of Primorska,Slovenia,1702,300+,VERY_LOW,20000
October University for Modern Sciences and Arts (MSA),Egypt,1703,300+,VERY_LOW,20000
Université de Gabès,Tunisia,1704,300+,VERY_LOW,20000
Austral University of Chile,Chile,1705,300+,VERY_LOW,20000
Morgan State University,United States,1706,300+,VERY_LOW,40000
Georgia Southern University,United States,1707,300+,VERY_LOW,40000
University of Qom,Iran,1708,300+,VERY_LOW,20000
Polytechnic Institute of Porto,Portugal,1709,300+,VERY_LOW,20000
Technical University of Cluj-Napoca,Romania,1710,300+,VERY_LOW,20000
Cukurova University,Turkey,1711,300+,VERY_LOW,20000
Universidad Andrés Bello (UNAB),Chile,1712,300+,VERY_LOW,20000
Telkom University,Indonesia,1713,300+,VERY_LOW,20000
Ubon Ratchathani University,Thailand,1714,300+,VERY_LOW,20000
Universitas Ahmad Dahlan,Indonesia,1715,300+,VERY_LOW,20000
"University of the North, Colombia",Colombia,1716,300+,VERY_LOW,20000
Izmir University of Economics,Turkey,1717,300+,VERY_LOW,20000
University of Pau and Pays de l’Adour,France,1718,300+,VERY_LOW,20000
State University of Malang,Indonesia,1719,300+,VERY_LOW,20000
University of Baghdad,Iraq,1720,300+,VERY_LOW,20000
B. S. Abdur Rahman Crescent Institute of Science and Technology,India,1721,300+,VERY_LOW,20000
Pontificia Universidad Javeriana,Colombia,1722,300+,VERY_LOW,20000
Amity University - Kolkata,India,1723,300+,VERY_LOW,20000
Nnamdi Azikiwe University,Nigeria,1724,300+,VERY_LOW,20000
University of Al-Qadisiyah,Iraq,1725,300+,VERY_LOW,20000
Ochanomizu University,Japan,1726,300+,VERY_LOW,20000
Universitas Negeri Semarang,Indonesia,1727,300+,VERY_LOW,20000
University of Costa Rica,Costa Rica,1728,300+,VERY_LOW,20000
Hanoi University of Science and Technology,Vietnam,1729,300+,VERY_LOW,20000
Arak University,Iran,1730,300+,VERY_LOW,20000
Federico Santa María Technical University,Chile,1731,300+,VERY_LOW,20000
Universidade do Estado do Rio de Janeiro (UERJ),Brazil,1732,300+,VERY_LOW,20000
University of Babylon,Iraq,1733,300+,VERY_LOW,20000
Federal University of Pelotas,Brazil,1734,300+,VERY_LOW,20000
Eskişehir Osmangazi University,Turkey,1735,300+,VERY_LOW,20000
Alexandru Ioan Cuza University,Romania,1736,300+,VERY_LOW,20000
Plekhanov Russian University of Economics,Russian Federation,1737,300+,VERY_LOW,20000
Saitama University,Japan,1738,300+,VERY_LOW,20000
University of Kufa,Iraq,1739,300+,VERY_LOW,20000
University of Moratuwa,Sri Lanka,1740,300+,VERY_LOW,20000
Dankook University,South Korea,1741,300+,VERY_LOW,20000
Gaziantep University,Turkey,1742,300+,VERY_LOW,20000
Universidade Federal de Ouro Preto (UFOP),Brazil,1743,300+,VERY_LOW,20000
Tottori University,Japan,1744,300+,VERY_LOW,20000
"University of Santiago, Chile (USACH)",Chile,1745,300+,VERY_LOW,20000
University of Yamanashi,Japan,1746,300+,VERY_LOW,20000
Universiti Malaysia Sabah (UMS),Malaysia,1747,300+,VERY_LOW,20000
L.N. Gumilyov Eurasian National University,Kazakhstan,1748,300+,VERY_LOW,20000
Ladoke Akintola University of Technology,Nigeria,1749,300+,VERY_LOW,20000
Tamil Nadu Agricultural University,India,1750,300+,VERY_LOW,20000
Kagoshima University,Japan,1751,300+,VERY_LOW,20000
University of Economics in Prague,Czechia,1752,300+,VERY_LOW,20000
Tokat Gaziosmanpaşa University,Turkey,1753,300+,VERY_LOW,20000
University of Life Sciences in Lublin,Poland,1754,300+,VERY_LOW,20000
Shibaura Institute of Technology,Japan,1755,300+,VERY_LOW,20000
University of Brawijaya,Indonesia,1756,300+,VERY_LOW,20000
Université Chouaïb Doukkali,Morocco,1757,300+,VERY_LOW,20000
Wasit University,Iraq,1758,300+,VERY_LOW,20000
National University of San Martín,Argentina,1759,300+,VERY_LOW,20000
Feng Chia University,Taiwan,1760,300+,VERY_LOW,20000
Dow University of Health Sciences,Pakistan,1761,300+,VERY_LOW,20000
Badji Mokhtar University – Annaba,Algeria,1762,300+,VERY_LOW,20000
"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,1763,300+,VERY_LOW,20000
Dnipro University of Technology,Ukraine,1764,300+,VERY_LOW,20000
Federal University of Mato Grosso do Sul,Brazil,1765,300+,VERY_LOW,20000
Russian Presidential Academy of National Economy and Public Administration,Russian Federation,1766,300+,VERY_LOW,20000
Bashkir State Medical University,Russian Federation,1767,300+,VERY_LOW,20000
Federal University of Espírito Santo,Brazil,1768,300+,VERY_LOW,20000
Aydın Adnan Menderes University,Turkey,1769,300+,VERY_LOW,20000
Federal University of Viçosa,Brazil,1770,300+,VERY_LOW,20000
Kyoto Institute of Technology,Japan,1771,300+,VERY_LOW,20000
Moscow Power Engineering Institute,Russian Federation,1772,300+,VERY_LOW,20000
Kasetsart University,Thailand,1773,300+,VERY_LOW,20000
Dunarea de Jos University of Galati,Romania,1774,300+,VERY_LOW,20000
Dokkyo Medical University,Japan,1775,300+,VERY_LOW,20000
National University of La Plata,Argentina,1776,300+,VERY_LOW,20000
Altınbaş University,Turkey,1777,300+,VERY_LOW,20000
"Vignan’s Foundation for Science, Technology and Research",India,1778,300+,VERY_LOW,20000
Universidad Mayor,Chile,1779,300+,VERY_LOW,20000
Fluminense Federal University,Brazil,1780,300+,VERY_LOW,20000
University of Zambia,Zambia,1781,300+,VERY_LOW,20000
Al-Nahrain University,Iraq,1782,300+,VERY_LOW,20000
Catholic University of Brasília,Brazil,1783,300+,VERY_LOW,20000
Technical University of Liberec,Czechia,1784,300+,VERY_LOW,20000
University of Pardubice,Czechia,1785,300+,VERY_LOW,20000
National Changhua University of Education,Taiwan,1786,300+,VERY_LOW,20000
University of Miyazaki,Japan,1787,300+,VERY_LOW,20000
Nile University,Egypt,1788,300+,VERY_LOW,20000
Damghan University,Iran,1789,300+,VERY_LOW,20000
Metropolitan Autonomous University,Mexico,1790,300+,VERY_LOW,20000
Baku State University,Azerbaijan,1791,300+,VERY_LOW,20000
University of West Attica,Greece,1792,300+,VERY_LOW,20000
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,1793,300+,VERY_LOW,20000
REVA University,India,1794,300+,VERY_LOW,20000
Konya Technical University,Turkey,1795,300+,VERY_LOW,20000
Altai State University,Russian Federation,1796,300+,VERY_LOW,20000
Kazan State Medical University,Russian Federation,1797,300+,VERY_LOW,20000
Grand Valley State University,United States,1798,300+,VERY_LOW,40000
Atılım University,Turkey,1799,300+,VERY_LOW,20000
Shahed University,Iran,1800,300+,VERY_LOW,20000
Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,1801,300+,VERY_LOW,20000
Al-Quds University,Palestine,1802,300+,VERY_LOW,20000
Taras Shevchenko National University of Kyiv,Ukraine,1803,300+,VERY_LOW,20000
"State University ""Kyiv Aviation Institute""",Ukraine,1804,300+,VERY_LOW,20000
Universidade Estadual de Maringá,Brazil,1805,300+,VERY_LOW,20000
Universitas Pendidikan Indonesia,Indonesia,1806,300+,VERY_LOW,20000
Pázmány Péter Catholic University,Hungary,1807,300+,VERY_LOW,20000
Universidad Católica del Maule,Chile,1808,300+,VERY_LOW,20000
Kenyatta University,Kenya,1809,300+,VERY_LOW,20000
University of Oradea,Romania,1810,300+,VERY_LOW,20000
Shanxi Medical University,China,1811,300+,VERY_LOW,20000
Sinop University,Turkey,1812,300+,VERY_LOW,20000
Bharati Vidyapeeth University,India,1813,300+,VERY_LOW,20000
Shimane University,Japan,1814,300+,VERY_LOW,20000
Ondokuz Mayis University,Turkey,1815,300+,VERY_LOW,20000
Van Yüzüncü Yil University,Turkey,1816,300+,VERY_LOW,20000
Ankara Yildirim Beyazit University,Turkey,1817,300+,VERY_LOW,20000
East West University,Bangladesh,1818,300+,VERY_LOW,20000
Sofia University,Bulgaria,1819,300+,VERY_LOW,20000
R V College of Engineering,India,1820,300+,VERY_LOW,20000
Shizuoka University,Japan,1821,300+,VERY_LOW,20000
De La Salle University,Philippines,1822,300+,VERY_LOW,20000
El Bosque University,Colombia,1823,300+,VERY_LOW,20000
Muroran Institute of Technology,Japan,1824,300+,VERY_LOW,20000
Lobachevsky State University of Nizhni Novgorod,Russian Federation,1825,300+,VERY_LOW,20000
Ferhat Abbas Sétif University 1,Algeria,1826,300+,VERY_LOW,20000
Al-Muthanna University,Iraq,1827,300+,VERY_LOW,20000
Polytechnic University of Timişoara,Romania,1828,300+,VERY_LOW,20000
Londrina State University,Brazil,1828,300+,VERY_LOW,20000
Teikyo University,Japan,1830,300+,VERY_LOW,20000
